u0,v0,u1,v1,u2,v2,u3,v3,u4,v4
52.0,60.0,74.0,60.0,97.0,60.0,74.0,82.0,73.0,38.0
52.5,60.5,75.0,60.0,97.0,60.0,75.0,82.0,74.0,39.0
53.0,60.0,75.0,60.0,98.0,60.0,75.0,82.0,75.0,38.0
54.0,60.0,75.0,60.0,98.0,60.0,75.0,82.0,75.0,38.0
54.0,60.0,76.0,60.0,98.0,60.0,75.0,82.0,75.0,38.0
54.0,60.0,75.0,60.0,98.0,60.0,76.0,82.0,74.0,38.0
54.0,60.0,75.5,60.0,98.0,60.0,76.0,82.0,75.0,38.0
54.0,60.0,76.0,60.0,98.0,60.0,76.0,82.0,75.0,38.0
54.0,60.0,76.0,60.0,99.0,60.0,76.0,82.0,75.0,38.0
54.0,60.0,76.0,60.0,99.0,60.0,76.0,82.0,75.0,38.0
54.0,60.0,76.0,60.0,99.0,60.0,76.0,82.0,75.0,38.0
54.0,60.0,76.0,60.0,99.0,60.0,76.0,82.0,75.5,38.0
54.0,60.0,76.0,60.0,99.0,60.0,76.0,82.0,75.5,38.0
54.0,60.0,76.0,60.0,99.0,60.0,76.0,82.0,75.0,38.0
54.0,60.0,76.0,60.0,99.0,60.0,76.0,82.0,75.0,38.0
54.0,60.0,75.0,60.0,98.0,60.0,76.0,82.0,75.0,38.0
53.0,60.0,75.0,60.0,98.0,60.0,75.0,82.0,75.0,38.0
53.0,60.0,75.0,60.0,98.0,60.0,75.0,82.0,75.0,37.0
52.0,60.0,74.0,60.0,97.0,60.0,75.0,82.0,74.5,37.0
52.0,60.0,74.0,60.0,97.0,60.0,74.0,82.0,74.0,37.0
51.0,60.0,74.0,60.0,97.0,60.0,74.0,82.0,73.0,37.0
51.0,60.0,73.0,60.0,96.0,60.0,73.0,82.0,73.0,37.0
